421829newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AaronPressman/421829newsML.txt
236352newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/236352newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


236574newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/236574newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


238508newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/238508newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


243204newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/243204newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JohnMastrini 18.0


258151newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/258151newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BernardHickey 5.0


258421newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/258421newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BernardHickey 5.0


263795newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/263795newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MarcelMichelson 30.0


266728newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/266728newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. FumikoFujisaki 11.0


272695newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/272695newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


290616newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/290616newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. PierreTran 39.0


292115newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/292115newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


293241newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/293241newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. EricAuchard 10.0


295492newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/295492newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KevinMorrison 24.0


295770newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/295770newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BernardHickey 5.0


302568newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/302568newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. FumikoFujisaki 11.0


314352newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/314352newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KarlPenhaul 21.0


315980newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/315980newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KarlPenhaul 21.0


329867newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/329867newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JanLopatka 15.0


329881newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/329881newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JoWinterbottom 20.0


330057newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/330057newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynnleyBrowning 29.0


332131newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/332131newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JanLopatka 15.0


332767newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/332767newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MatthewBunce 33.0


334192newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/334192newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. SarahDavison 43.0


334448newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/334448newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. SarahDavison 43.0


334550newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/334550newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MichaelConnor 34.0


336998newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/336998newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


337258newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/337258newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MartinWolk 32.0


339041newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/339041newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


350545newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/350545newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JohnMastrini 18.0


350775newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/350775newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynnleyBrowning 29.0


356722newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/356722newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JohnMastrini 18.0


359894newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/359894newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


361663newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/361663newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


366272newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/366272newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


366373newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/366373newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MarkBendeich 31.0


366381newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/366381newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


366583newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/366583newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BernardHickey 5.0


366688newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/366688newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


367973newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/367973newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BernardHickey 5.0


369180newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/369180newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. SarahDavison 43.0


375217newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/375217newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. FumikoFujisaki 11.0


378036newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/378036newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


381679newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/381679newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JohnMastrini 18.0


384397newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/384397newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. FumikoFujisaki 11.0


397638newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/397638newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. GrahamEarnshaw 12.0


404037newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/404037newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


406803newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/406803newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KirstinRidley 25.0


406812newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AlanCrosby/406812newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


